Time;Iterations;Result;Maximum;Minimum;REST;warmUp;WS
0:00:01;1564;8878.150667011;56263.0002694998;129.3363689217;2684.7719481269;0;441.3473828761
0:00:02;3299;3392.6155583382;67630.2169103947;67.245461489;1752.0236158871;0;620.2248349867
0:00:03;5171;3224.3076685966;67630.2169103947;67.245461489;1853.2198616583;0;619.4729273033
0:00:04;6862;50515.5618239755;67630.2169103947;37.7454352292;1695.4916563383;0;624.2680771739
0:00:05;8474;6055.4908223587;67630.2169103947;37.7454352292;1648.2487343473;0;633.3813436522
0:00:06;10291;590.7920160721;67630.2169103947;37.7454352292;1655.9401101305;0;650.1167261647
0:00:07;12402;15294.1118892755;67630.2169103947;37.7454352292;1691.8431698434;0;683.2125173788
0:00:08;14495;31408.8502601909;67630.2169103947;37.7454352292;1721.4011059021;0;735.5724157584
0:00:09;16462;1809.5609382675;67630.2169103947;37.7454352292;1742.3220981132;0;769.0439440839
0:00:10;18712;5761.280645116;67630.2169103947;37.7454352292;1776.4625967513;0;797.6005848132
0:00:11;20749;23718.6587572846;67630.2169103947;37.7454352292;1795.0513837571;0;828.3869405323
0:00:12;22557;20563.345179191;77229.201596791;37.7454352292;1792.4123442466;0;840.3066362036
0:00:13;24662;1509.2022854756;77229.201596791;37.7454352292;1809.2300394658;0;859.7461575632
0:00:15;27780;3484.2148170347;101444.982328284;37.7454352292;1853.4191701361;0;919.4153754678
0:00:16;30400;2656.678194259;101444.982328284;37.7454352292;1892.4932871974;0;977.9391706259
0:00:17;33023;2328.3108253974;105603.200199379;37.7454352292;1933.0479714626;0;1054.8964097842
0:00:18;35725;17955.2845185407;105603.200199379;37.7454352292;1973.3752982153;0;1135.3052125739
0:00:19;38230;34941.504427438;105603.200199379;37.7454352292;1998.3502368724;0;1233.1179669231
0:00:20;40921;3051.0836839029;105603.200199379;37.7454352292;2028.2251974345;0;1334.8536468263
0:00:21;43744;1600.1894368263;105603.200199379;37.7454352292;2066.5090214793;0;1434.1440376401
0:00:22;46548;3606.9063600219;105603.200199379;37.7454352292;2096.495804437;0;1531.3617872544
